audio_file,lang,text
greeting_hi.wav,hi,"नमस्ते! मैं M CAD Solutions का वर्चुअल असिस्टेंट हूँ, जो पुणे में मैकेनिकल डिज़ाइन और इंडस्ट्री 4.0 ट्रेनिंग इंस्टीट्यूट है। मैं आपको हमारे CAD कोर्स, डोमेन ट्रेनिंग प्रोग्राम, प्लेसमेंट, फीस, समय और संपर्क जानकारी के बारे में बता सकता हूँ। आप क्या जानना चाहते हैं?"
identity_hi.wav,hi,मैं M CAD Solutions का AI असिस्टेंट हूँ। मैं आपको हमारे CAD और ऑटोमोटिव डिज़ाइन कोर्सेस की जानकारी देने के लिए यहाँ हूँ।
thanks_hi.wav,hi,"आपका स्वागत है! यदि आपके पास हमारे कोर्स या एडमिशन से जुड़े और प्रश्न हैं, तो बेझिझक पूछें!"
bye_hi.wav,hi,"आपसे बात करके अच्छा लगा! अधिक जानकारी के लिए +91 7030999500 पर संपर्क करें या कर्वेनगर, पुणे स्थित हमारे इंस्टीट्यूट में आएं। आपके इंजीनियरिंग करियर के लिए शुभकामनाएं!"
full_name_hi.wav,hi,"पूरा नाम M CAD Solutions है, जो पुणे के कर्वेनगर में स्थित एक प्रमुख मैकेनिकल डिज़ाइन और प्लेसमेंट-केंद्रित ट्रेनिंग इंस्टीट्यूट है, जो BIW फिक्सचर डिज़ाइन, प्लास्टिक प्रोडक्ट डिज़ाइन, रोबोटिक्स और डिजिटल ट्विन तकनीकों में विशेषज्ञ है।"
history_hi.wav,hi,"M CAD Solutions की स्थापना 2017 में श्री मनोज पोतदार ने की थी, जिसका उद्देश्य नौकरी-उन्मुख मैकेनिकल डिज़ाइन शिक्षा प्रदान करना था। पहला बैच 2018 में 95% प्लेसमेंट सफलता दर के साथ पूरा हुआ, और 2020 में इसे पुणे का सर्वश्रेष्ठ CAD ट्रेनिंग इंस्टीट्यूट घोषित किया गया।"
founder_hi.wav,hi,"M CAD Solutions के संस्थापक श्री मनोज पोतदार हैं, जो 15 वर्षों से अधिक के उद्योग अनुभव वाले BIW फिक्सचर डिज़ाइन विशेषज्ञ हैं और फाउंडर एवं CEO के रूप में कार्यरत हैं।"
location_hi.wav,hi,"M CAD Solutions पहली मंज़िल, FMCIII बिल्डिंग, मराठवाड़ा मित्र मंडल कॉलेज ऑफ इंजीनियरिंग रोड, कुका रोबोटिक्स लैब के ऊपर, हिंगणे होम कॉलोनी, कर्वेनगर, पुणे, महाराष्ट्र 411052 में स्थित है।"
phone_hi.wav,hi,आप M CAD Solutions से +91 7030999500 या +91 9096708490 पर संपर्क कर सकते हैं।
email_hi.wav,hi,आप info@mcadsolution.com या support@mcadsolution.com पर ईमेल कर सकते हैं।
timings_hi.wav,hi,M CAD Solutions सोमवार से शनिवार सुबह 9:00 बजे से रात 9:00 बजे तक खुला रहता है। रविवार को बंद रहता है। हमारी सपोर्ट टीम प्रश्नों के लिए 24/7 उपलब्ध है।
courses_offered_hi.wav,hi,"M CAD Solutions CATIA V5, SolidWorks, और UG NX जैसे CAD कोर्स के साथ-साथ BIW फिक्सचर डिज़ाइन, ऑटोमोटिव इंटीरियर प्लास्टिक ट्रिम्स, रोबोटिक्स एंड ऑटोमेशन सिमुलेशन, और डिजिटल ट्विन एंड ऑटोमेशन डिज़ाइन (इंडस्ट्री 4.0/5.0) जैसे डोमेन ट्रेनिंग प्रोग्राम भी प्रदान करता है।"
