audio_file,lang,text
greeting_mr.wav,mr,"नमस्कार! मी M CAD Solutions चा व्हर्च्युअल असिस्टंट आहे, पुण्यातील मेकॅनिकल डिझाईन आणि इंडस्ट्री 4.0 ट्रेनिंग इन्स्टिट्यूट. मी तुम्हाला आमचे CAD कोर्सेस, डोमेन ट्रेनिंग प्रोग्राम्स, प्लेसमेंट, फी, वेळापत्रक आणि संपर्क माहिती सांगू शकतो. तुम्हाला काय जाणून घ्यायचे आहे?"
identity_mr.wav,mr,मी M CAD Solutions चा AI असिस्टंट आहे. मी तुम्हाला आमच्या CAD आणि ऑटोमोटिव्ह डिझाईन कोर्सेसची माहिती देण्यासाठी येथे आहे.
thanks_mr.wav,mr,तुमचे स्वागत आहे! आमच्या कोर्सेस किंवा अ‍ॅडमिशनबद्दल आणखी प्रश्न असतील तर नक्की विचारा!
bye_mr.wav,mr,"तुमच्याशी बोलून आनंद झाला! अधिक माहितीसाठी +91 7030999500 वर संपर्क करा किंवा कर्वेनगर, पुणे येथील आमच्या इन्स्टिट्यूटला भेट द्या. तुमच्या इंजिनिअरिंग करिअरसाठी शुभेच्छा!"
full_name_mr.wav,mr,"पूर्ण नाव M CAD Solutions आहे, कर्वेनगर, पुणे येथील एक आघाडीचे मेकॅनिकल डिझाईन आणि प्लेसमेंट-केंद्रित ट्रेनिंग इन्स्टिट्यूट, जे BIW फिक्स्चर डिझाईन, प्लास्टिक प्रॉडक्ट डिझाईन, रोबोटिक्स आणि डिजिटल ट्विन तंत्रज्ञानामध्ये तज्ज्ञ आहे."
history_mr.wav,mr,"M CAD Solutions ची स्थापना 2017 मध्ये श्री. मनोज पोतदार यांनी केली, नोकरी-केंद्रित मेकॅनिकल डिझाईन शिक्षण देण्याच्या उद्देशाने. 2018 मध्ये पहिली बॅच 95% प्लेसमेंट यशासह पूर्ण झाली आणि 2020 मध्ये पुण्यातील सर्वोत्तम CAD ट्रेनिंग इन्स्टिट्यूट म्हणून गौरवण्यात आले."
founder_mr.wav,mr,"M CAD Solutions चे संस्थापक श्री. मनोज पोतदार आहेत, जे 15+ वर्षांचा उद्योग अनुभव असलेले BIW फिक्स्चर डिझाईन तज्ज्ञ आहेत आणि फाउंडर व CEO म्हणून कार्यरत आहेत."
location_mr.wav,mr,"M CAD Solutions पहिला मजला, FMCIII बिल्डिंग, मराठवाडा मित्र मंडळ कॉलेज ऑफ इंजिनिअरिंग रोड, कुका रोबोटिक्स लॅबच्या वर, हिंगणे होम कॉलनी, कर्वेनगर, पुणे, महाराष्ट्र 411052 येथे स्थित आहे."
phone_mr.wav,mr,तुम्ही M CAD Solutions शी +91 7030999500 किंवा +91 9096708490 वर संपर्क साधू शकता.
email_mr.wav,mr,तुम्ही info@mcadsolution.com किंवा support@mcadsolution.com वर ईमेल करू शकता.
timings_mr.wav,mr,M CAD Solutions सोमवार ते शनिवार सकाळी 9:00 ते रात्री 9:00 पर्यंत सुरू असते. रविवारी बंद असते. आमची सपोर्ट टीम प्रश्नांसाठी 24/7 उपलब्ध आहे.
courses_offered_mr.wav,mr,"M CAD Solutions CATIA V5, SolidWorks आणि UG NX सारखे CAD कोर्सेस, तसेच BIW फिक्स्चर डिझाईन, ऑटोमोटिव्ह इंटीरियर प्लास्टिक ट्रिम्स, रोबोटिक्स अँड ऑटोमेशन सिम्युलेशन आणि डिजिटल ट्विन अँड ऑटोमेशन डिझाईन (इंडस्ट्री 4.0/5.0) असे डोमेन ट्रेनिंग प्रोग्राम्स देखील देते."
catia_course_mr.wav,mr,"CATIA V5 हे Dassault Systemes चे CAD सॉफ्टवेअर आहे, जे ऑटोमोटिव्ह आणि एरोस्पेस डिझाईनमध्ये मोठ्या प्रमाणात वापरले जाते. हा कोर्स 3-6 महिन्यांचा असून बॅच साईझ 10-15 विद्यार्थ्यांची आहे, यात फाउंडेशन, पार्ट डिझाईन, असेंब्ली डिझाईन, सरफेस डिझाईन आणि ड्राफ्टिंग मॉड्यूल्सचा समावेश आहे, आणि शेवटी इंडस्ट्री-मान्यताप्राप्त सर्टिफिकेट मिळते."
