lang,topic,question,answer,keywords,audio_file
en,greeting,Hello! How can I help you?,"Hello! I'm the virtual assistant for M CAD Solutions, a mechanical design and Industry 4.0 training institute in Pune. I can help you with information about our CAD courses, domain training programs, placements, fees, timings, and contact details. What would you like to know?",!hello|!hi|!hey|!hii|!helo|!namaste|!good morning|!good afternoon|!good evening|!greetings|!are you there|!anyone there|!hello there|!hi there|!hey there,greeting_en.wav
hi,greeting,नमस्ते! मैं आपकी कैसे मदद कर सकता हूँ?,"नमस्ते! मैं M CAD Solutions का वर्चुअल असिस्टेंट हूँ, जो पुणे में मैकेनिकल डिज़ाइन और इंडस्ट्री 4.0 ट्रेनिंग इंस्टीट्यूट है। मैं आपको हमारे CAD कोर्स, डोमेन ट्रेनिंग प्रोग्राम, प्लेसमेंट, फीस, समय और संपर्क जानकारी के बारे में बता सकता हूँ। आप क्या जानना चाहते हैं?",!नमस्ते|!नमस्कार|!हेलो|!हाय|!हाई|!हैलो|!सुप्रभात|!शुभ दोपहर|!शुभ संध्या|!कोई है|!हेलो जी|!गुड मॉर्निंग,greeting_hi.wav
mr,greeting,नमस्कार! मी तुम्हाला कशी मदत करू शकतो?,"नमस्कार! मी M CAD Solutions चा व्हर्च्युअल असिस्टंट आहे, पुण्यातील मेकॅनिकल डिझाईन आणि इंडस्ट्री 4.0 ट्रेनिंग इन्स्टिट्यूट. मी तुम्हाला आमचे CAD कोर्सेस, डोमेन ट्रेनिंग प्रोग्राम्स, प्लेसमेंट, फी, वेळापत्रक आणि संपर्क माहिती सांगू शकतो. तुम्हाला काय जाणून घ्यायचे आहे?",!नमस्कार|!नमस्ते|!हॅलो|!हाय|!हेलो|!सुप्रभात|!शुभ संध्याकाळ|!कोणी आहे का|!गुड मॉर्निंग,greeting_mr.wav
en,identity,What is your name? Who are you?,I'm the AI assistant for M CAD Solutions. I'm here to help you and your family with information about our CAD and automotive design courses.,!your name|!what is your name|!who are you|!what are you|!introduce yourself|!who is this|!what should i call you,identity_en.wav
hi,identity,आपका नाम क्या है?,मैं M CAD Solutions का AI असिस्टेंट हूँ। मैं आपको हमारे CAD और ऑटोमोटिव डिज़ाइन कोर्सेस की जानकारी देने के लिए यहाँ हूँ।,!आपका नाम|!तुम्हारा नाम|!आप कौन हैं|!आप क्या हैं|!अपना परिचय दें,identity_hi.wav
mr,identity,तुझे नाव काय आहे?,मी M CAD Solutions चा AI असिस्टंट आहे. मी तुम्हाला आमच्या CAD आणि ऑटोमोटिव्ह डिझाईन कोर्सेसची माहिती देण्यासाठी येथे आहे.,!तुझे नाव|!तुमचे नाव|!तू कोण आहेस|!तुम्ही कोण आहात|!स्वतःची ओळख करून दे,identity_mr.wav
en,thanks,Thank you!,"You're welcome! If you have more questions about our courses or admissions, I'm right here. Feel free to ask!",!thank you|!thanks|!thankyou|!thanks a lot|!thank you so much|!thank u,thanks_en.wav
hi,thanks,धन्यवाद!,"आपका स्वागत है! यदि आपके पास हमारे कोर्स या एडमिशन से जुड़े और प्रश्न हैं, तो बेझिझक पूछें!",!धन्यवाद|!शुक्रिया|!थैंक्यू|!बहुत बहुत धन्यवाद|!आभार,thanks_hi.wav
mr,thanks,धन्यवाद!,तुमचे स्वागत आहे! आमच्या कोर्सेस किंवा अ‍ॅडमिशनबद्दल आणखी प्रश्न असतील तर नक्की विचारा!,!धन्यवाद|!आभार|!थँक्यू|!खूप आभारी,thanks_mr.wav
en,bye,Bye!,"It was great assisting you! For more details, feel free to contact us at +91 7030999500 or visit our institute in Karvenagar, Pune. Good luck with your engineering career!",!bye|!goodbye|!see you|!ok bye|!good bye|!take care|!bye bye,bye_en.wav
