audio_file,lang,text
greeting_en.wav,en,"Hello! I'm the virtual assistant for M CAD Solutions, a mechanical design and Industry 4.0 training institute in Pune. I can help you with information about our CAD courses, domain training programs, placements, fees, timings, and contact details. What would you like to know?"
identity_en.wav,en,I'm the AI assistant for M CAD Solutions. I'm here to help you and your family with information about our CAD and automotive design courses.
thanks_en.wav,en,"You're welcome! If you have more questions about our courses or admissions, I'm right here. Feel free to ask!"
bye_en.wav,en,"It was great assisting you! For more details, feel free to contact us at +91 7030999500 or visit our institute in Karvenagar, Pune. Good luck with your engineering career!"
full_name_en.wav,en,"The full name is M CAD Solutions, a leading mechanical design and placement-focused training institute located in Karvenagar, Pune, specializing in BIW Fixture Design, Plastic Product Design, Robotics, and Digital Twin technologies."
history_en.wav,en,M CAD Solutions was founded in 2017 by Mr. Manoj Potdar with a vision to provide job-oriented mechanical design education. The institute trained its first batch in 2018 with a 95% placement success rate and was recognized as the Best CAD Training Institute in Pune in 2020.
founder_en.wav,en,"M CAD Solutions was founded by Mr. Manoj Potdar, who is also a BIW Fixture Design expert with over 15 years of industry experience and serves as the Founder and CEO."
location_en.wav,en,"M CAD Solutions is located on the 1st floor of the FMCIII Building, Marathwada Mitra Mandal College of Engineering Road, above Kuka Robotics Lab, Hingane Home Colony, Karvenagar, Pune, Maharashtra 411052."
phone_en.wav,en,You can reach M CAD Solutions at +91 7030999500 or +91 9096708490.
email_en.wav,en,You can email M CAD Solutions at info@mcadsolution.com or support@mcadsolution.com.
timings_en.wav,en,M CAD Solutions is open Monday to Saturday from 9:00 AM to 9:00 PM. It remains closed on Sundays. Our support team is available 24/7 for queries.
courses_offered_en.wav,en,"M CAD Solutions offers CAD courses like CATIA V5, SolidWorks, and UG NX, along with domain training programs such as BIW Fixture Design, Automotive Interior Plastic Trims, Robotics & Automation Simulation, and Digital Twin & Automation Design (Industry 4.0/5.0)."
catia_course_en.wav,en,"CATIA V5 is a CAD software by Dassault Systemes, widely used in automotive and aerospace design. The course runs for 3-6 months with a batch size of 10-15 students, covers foundation, part design, assembly design, surface design, and drafting modules, and includes industry-recognized certification."
biw_course_en.wav,en,"BIW Fixture Design is a 3-month, job-oriented domain training program covering automotive Body-in-White fixture design, 3D modeling, simulation, welding gun integration, and GD&T drawing creation. It has 100 lectures, a batch size of 5 students, and leads to roles like BIW Design Engineer and Fixture Design Specialist."
interior_plastic_course_en.wav,en,"This is a 3-month domain training program covering interior trim design, material selection, injection molding, and DFM for plastic parts. It has 90 lectures, a batch of 5 students, live OEM projects, and prepares you for roles like Interior Trim Design Engineer and Plastic Component Designer."
solidworks_course_en.wav,en,"The SolidWorks course runs for 1 month, is suitable for all levels, and includes 60 lectures with expert-led instruction covering 3D modeling and design fundamentals using SolidWorks software."
ugnx_course_en.wav,en,"The UG NX course runs for 1 month, is suitable for all levels, includes 60 lectures with practical training on the UG NX CAD platform used in mechanical design."
industry4_program_en.wav,en,"It's India's first ROS2-based Digital Twin robotics training program. It follows a simulation-first approach covering ROS2 foundations, mobile robot motion, and 6-DOF industrial robotic arm training, without any real hardware integration, so learners can safely master robotics fundamentals that apply to any robot in industry."
placement_rate_en.wav,en,"M CAD Solutions has a 98% placement rate, with over 5000 students trained and placed, and a network of 150-200+ partner companies in the automotive and manufacturing sectors."
placement_partners_en.wav,en,"Partner companies include Mahindra, Tata Technologies, L&T Technology Services, Kohler, Robtech Automation, Rheomold, Faith Automation, DIFACTO Robotics, and many more across automotive and manufacturing sectors."
placement_process_en.wav,en,"The placement process has 6 steps: profile building (resume/portfolio), skill assessment, interview preparation with mock interviews, company connect with partner firms, placement drives, and post-placement career growth support."
why_choose_en.wav,en,"M CAD Solutions offers 15+ years of industry expertise, job-oriented courses with placement support, project-based training, small batch sizes, lifetime access to session recordings, and a proven track record with a 98% placement rate."
batch_size_en.wav,en,"Domain training programs like BIW Fixture Design and Automotive Interior Plastic Trims have a small batch size of just 5 students per batch, ensuring personalized attention."
certificate_en.wav,en,"Yes, M CAD Solutions provides an industry-recognized certificate of completion for all its CAD and domain training courses."
mode_of_training_en.wav,en,"M CAD Solutions offers both online and classroom training modes, giving students flexibility to choose what suits them best."
contact_form_en.wav,en,"You can enroll by visiting the Contact page on our website, filling in your details, or calling us at +91 7030999500. You can also book a free demo session before joining any course."
